,queries,labels
1715,Computer leads to others,Computer Drives Other
1716,The computer leads to others,Computer Drives Other
1717,Computer transmission varieties packages,Computer Drives Variety Packs
1718,Computer causes variety packs,Computer Drives Variety Packs
1719,Disco disc,Floppy Disc Drives
1720,Drivery trays,Floppy Disc Drives
1721,Hard drives,Hard Disc Drives
1722,HDDs,Hard Disc Drives
1723,Optical Units: Reading only,Optical Drives - Reading Only
1724,Optical drives - Reading only,Optical Drives - Reading Only
1725,Optical Units - Reading/Writing,Optical Drives - Reading/Writing
1726,Optical Drives - Reading / Writing,Optical Drives - Reading/Writing
1727,Exchange of units,Swap Drives
1728,Interchange,Swap Drives
1729,Training/Transmitters,Tape Drives/Streamers
1730,Band drives / banners,Tape Drives/Streamers
1731,Zip/Jaz disc units,Zip/Jaz Disk Drives
1732,Zip / Jaz disc drives,Zip/Jaz Disk Drives
1733,Computer network equipment: spare parts/accessories,Computer Networking Equipment - Replacement Parts/Accessories
1734,Computer networking equipment - Parts / replacement accessories,Computer Networking Equipment - Replacement Parts/Accessories
1735,Other computer networks,Computer Networking Equipment Other
1736,IT networking other,Computer Networking Equipment Other
1737,Varieties of computer networks varieties,Computer Networking Equipment Variety Packs
1738,Computer networking variety packs,Computer Networking Equipment Variety Packs
1739,Firewall,Firewalls
1740,Firewall,Firewalls
1741,Link doors,Gateways
1742,Bridal,Gateways
1743,Network access points,Network Access Points
1744,Network access points,Network Access Points
1745,Network interface cards,Network Interface Cards
1746,Network interface cards,Network Interface Cards
1747,Network routers,Network Routers
1748,Network routers,Network Routers
1749,Network switches,Network Switches
1750,Network switches,Network Switches
1751,Network/USB centers,Network/USB Hubs
1752,Network / USB Hubs,Network/USB Hubs
1753,Repetitions,Repeaters
1754,Rehearsal,Repeaters
1755,USB Internet stick,USB Internet Stick
1756,Card readers,Card Readers
1757,Card readers,Card Readers
1758,Housing accessories/computer housing,Computer Casing/Housing Accessories
1759,Computer envelope / Housing Accessories,Computer Casing/Housing Accessories
1760,Computer coupling/cradle ports,Computer Docking Ports/Cradles
1761,Computer mooring ports / cradles,Computer Docking Ports/Cradles
1762,Computer supplies,Computer Power Supplies
1763,IT feeding,Computer Power Supplies
1764,Computer supports/supports,Computer Stands/Supports
1765,Computer stands / supports,Computer Stands/Supports
1766,Computer tools/Tool Kits,Computer Tools/Tool Kits
1767,IT tools / tool kits,Computer Tools/Tool Kits
1768,Computer accessories/video game others,Computer/Video Game Accessories Other
1769,IT / Video game accessories Other,Computer/Video Game Accessories Other
1770,Video game accessories/variety packages,Computer/Video Game Accessories Variety Packs
1771,IT / video game variety packs,Computer/Video Game Accessories Variety Packs
1772,Computer boxes/operators,Computer/Video Game Cases/Carriers
1773,Cases / IT / video game operators,Computer/Video Game Cases/Carriers
1774,Computer cleaning/video game products,Computer/Video Game Cleaning Products
1775,Cleaning products for IT / video games,Computer/Video Game Cleaning Products
1776,Computer/video game headphones,Computer/Video Game Headsets
1777,IT / video game heads,Computer/Video Game Headsets
1778,Computer safety products/video game,Computer/Video Game Security Products
1779,IT / Video IT Games,Computer/Video Game Security Products
1780,Filters/Covers (Electronic equipment),Filters/Covers (Electronic Equipment)
1781,Filters / blankets (electronic equipment),Filters/Covers (Electronic Equipment)
1782,Esterras/breaks - Computing,Mats/Rests - Computing
1783,Carpet / Rest - Computer,Mats/Rests - Computing
1784,Personal Data Assistant/Stylus organizer,Personal Data Assistant/Organiser Stylus
1785,Personal data assistant / organizer stylus,Personal Data Assistant/Organiser Stylus
1786,Personal video recorder,Personal Video Recorder
1787,Tape recorder,Personal Video Recorder
1788,Video editor,Video Editor
1789,Video editor,Video Editor
1790,Computer graphics tablets,Computer Graphics Tablets
1791,IT graphics tablets,Computer Graphics Tablets
1792,Computer keyboards,Computer Keyboards
1793,IT keyboards,Computer Keyboards
1794,Computer indicated devices,Computer Pointing Devices
1795,Computer pointing devices,Computer Pointing Devices
1796,Computer/video game control devices,Computer/Video Game Control Devices
1797,IT / Video IT games,Computer/Video Game Control Devices
1798,Computer control/video game/input devices: replacement parts/accessories,Computer/Video Game Control/Input Devices - Replacement Parts/Accessories
1799,Counting control / Video Game / Input profit - Parts / replacement accessories,Computer/Video Game Control/Input Devices - Replacement Parts/Accessories
1800,Computer/video game control/Input devices others,Computer/Video Game Control/Input Devices Other
1801,IT / Video game control / other entry devices,Computer/Video Game Control/Input Devices Other
1802,Video game control/input devices Variety packages,Computer/Video Game Control/Input Devices Variety Packs
1803,C compute / video control / Input depression Paccles varietyrs,Computer/Video Game Control/Input Devices Variety Packs
1804,Digital pen,Digital Pens
1805,Digital pens,Digital Pens
1806,Computer speakers/mini speakers,Computer Speakers/Mini Speakers
1807,IT,Computer Speakers/Mini Speakers
1808,Computer/video game monitors,Computer/Video Game Monitors
1809,Computer / video game monitors,Computer/Video Game Monitors
1810,Computer/video game peripherals: replacement pieces/accessories,Computer/Video Game Peripherals - Replacement Parts/Accessories
1811,Computer / video game devices - Parts / replacement accessories,Computer/Video Game Peripherals - Replacement Parts/Accessories
1812,Peripheral computer/video game,Computer/Video Game Peripherals Other
1813,Computer / video game devices,Computer/Video Game Peripherals Other
1814,Computer/Video Game Peripheral Varieties Packages,Computer/Video Game Peripherals Variety Packs
1815,IT device variety packs / video games,Computer/Video Game Peripherals Variety Packs
1816,Printer consumables,Printer Consumables
1817,Printer consumables,Printer Consumables
1818,Projection systems,Projection Systems
1819,Projection systems,Projection Systems
1820,Scanning,Scanners
1821,Web cameras,Web-cameras
1822,Web camera,Web-cameras
1823,Computer software (no games),Computer Software (Non Games)
1824,Computer software (no games),Computer Software (Non Games)
1825,Computer software (no games) - digital,Computer Software (Non Games) - Digital
1826,Computer software (no games) - digital,Computer Software (Non Games) - Digital
1827,Computer Games/Video Games Software,Computer/Video Game Gaming Software
1828,IT / video game game software,Computer/Video Game Gaming Software
1829,Computer Games/Video Games - Digital,Computer/Video Game Gaming Software - Digital
1830,IT / Video - Digital IT game software,Computer/Video Game Gaming Software - Digital
1831,Computer Software/Video Game,Computer/Video Game Software Other
1832,IT / Video game software Other,Computer/Video Game Software Other
1833,Computer/Video game software varieties,Computer/Video Game Software Variety Packs
1834,Computer / video game / video game software packs,Computer/Video Game Software Variety Packs
1835,Computers: spare parts/accessories,Computers - Replacement Parts/Accessories
1836,Computers - Parts / replacement accessories,Computers - Replacement Parts/Accessories
1837,Other computers,Computers Other
1838,Other computers,Computers Other
1839,Electronic organizers,Electronic Organisers
1840,Electronic organizers,Electronic Organisers
1841,Personal-all computers in one,Personal Computers - All-in-One
1842,Personal computers-All-in-one,Personal Computers - All-in-One
1843,Personal computers - Desk/Internet Terminal,Personal Computers - Desktop/Internet Terminal
1844,Personal computers - Office / Internet terminal,Personal Computers - Desktop/Internet Terminal
1845,Personal computers - laptops,Personal Computers - Portable
1846,Personal computers - Portable,Personal Computers - Portable
1847,Personal computers: Tablets/Electronic Book Readers,Personal Computers - Tablets/E-Book Readers
1848,Personal computers - Tablets / electronic books,Personal Computers - Tablets/E-Book Readers
1849,Personal digital assistants,Personal Digital Assistants
1850,Personal digital assistants,Personal Digital Assistants
1851,Server,Servers
1852,Waiters,Servers
1853,Smart watches,Smart Watches
1854,Computer/Video Games Variety Packages,Computers/Video Games Variety Packs
1855,Packs of computers / video games,Computers/Video Games Variety Packs
1856,Console accessories,Console Accessories
1857,Console accessories,Console Accessories
1858,Video game consoles - non -portable,Video Game Consoles - Non Portable
1859,Video game consoles - Non -portable,Video Game Consoles - Non Portable
1860,Video game consoles - portable,Video Game Consoles - Portable
1861,Video game consoles - Portable,Video Game Consoles - Portable
1862,Video game consoles: spare parts,Video Game Consoles - Replacement Parts
1863,Video game consoles - replacement parts,Video Game Consoles - Replacement Parts
1864,BIMI/broccolinipllants (Brassica Oleracea Italica X Alboglabra),Bimi/Broccoliniplants (Brassica Oleracea Italica X Alboglabra)
1865,Bimi / Broccoliniplants (Brassica Oleracea Italica X Alboglabra),Bimi/Broccoliniplants (Brassica Oleracea Italica X Alboglabra)
1866,Broccoliplants (brassica oleracea var. Italica),Broccoliplants (Brassica Oleracea var. Italica)
1867,Broccoliplants (Brassica Oleracea Var. Italica),Broccoliplants (Brassica Oleracea var. Italica)
1868,Brussels Sprout Plants (Brassica Oleracea Var. Gemmifera),Brussels Sproutplants (Brassica Oleracea var. Gemmifera)
1869,Brussels Sprutpants (Brassica Oleracea Var. Gemmifera),Brussels Sproutplants (Brassica Oleracea var. Gemmifera)
1870,Cauliflowerplants (brassica oleracea var. Botrytis),Cauliflowerplants (Brassica Oleracea var. Botrytis)
1871,Cauflowerpants (Brassica Oleracea Var. Botrytis),Cauliflowerplants (Brassica Oleracea var. Botrytis)
1872,Common turnplants (Brassica Rapa Subp. Rapa),Common Turnipplants (Brassica Rapa Subsp. Rapa)
1873,Common Turniplants (Brassica Rapa Subsp. Rapa),Common Turnipplants (Brassica Rapa Subsp. Rapa)
1874,Curly kaleplants (Brassica Oleracea Var. Sabellica),Curly Kaleplants (Brassica Oleracea var. Sabellica)
1875,Curly Kaleplants (Brassica Oleracea Var. Sabellica),Curly Kaleplants (Brassica Oleracea var. Sabellica)
1876,Kai-Alanples (Brassica Oleracea Var. Alboglabra),Kai-Lanplants (Brassica Oleracea var. Alboglabra)
1877,Kai-Lanpants (Brassica Oleracea Var. Alboglabra),Kai-Lanplants (Brassica Oleracea var. Alboglabra)
1878,Oxheart Cabbageplants (Brassica Oleracea Var. Capitata F. Conica),Oxheart Cabbageplants (Brassica Oleracea var. Capitata F. Conica)
1879,OXHEART CABBAGEPLANTS (Brassica Oleracea Var. Capitata F. CONICA),Oxheart Cabbageplants (Brassica Oleracea var. Capitata F. Conica)
1880,Red cabbage plants (Brassica Oleracea Var. Capitata F. Rubra),Red Cabbageplants (Brassica Oleracea var. Capitata F. Rubra)
1881,Red Cabbage (Brassica Oleracea Var. Capitata F. Rubra),Red Cabbageplants (Brassica Oleracea var. Capitata F. Rubra)
1882,Romanescoplants (Brassica smeracea convar. Botrytis var. Botrytis),Romanescoplants (Brassica Oleracea Convar. Botrytis var. Botrytis)
1883,Romanescopants (Brassica Oleracea Convour. Botrytis var. Botrytis),Romanescoplants (Brassica Oleracea Convar. Botrytis var. Botrytis)
1884,Savoy Cabbageplants (Brassica Oleracea Var. Sabauda),Savoy Cabbageplants (Brassica Oleracea var. Sabauda)
1885,Savoy CABBAGEPLANTS (Brassica Oleracea Var. Sabauda),Savoy Cabbageplants (Brassica Oleracea var. Sabauda)
1886,Swedish turnips/rutabagaplants (brassica napobrassica),Swedish Turnips/Rutabagaplants (Brassica Napobrassica)
1887,Swedish / rutabaglants (Brassica Napobrassica),Swedish Turnips/Rutabagaplants (Brassica Napobrassica)
1888,White cabbage plants (Brassica Oleracea Var. Capitata),White Cabbageplants (Brassica Oleracea var. Capitata)
1889,Plants Cabbage (Brassica Oleracea Var. Capitata),White Cabbageplants (Brassica Oleracea var. Capitata)
1890,ABISINIAN AVENA (APHYSSINIC AVENA),Abyssinian Oatplants (Avena Abyssinica)
1891,Abyssinian Oatpants (Avena Abyssinica),Abyssinian Oatplants (Avena Abyssinica)
1892,African templates (Oryza Gaberrima),African Riceplants (Oryza Glaberrima)
1893,Africans ricepants (Oryza Glaberrima),African Riceplants (Oryza Glaberrima)
1894,Orley Plants (Hordeum Vulgare),Barleyplants (Hordeum vulgare)
1895,Fonioplants Negros (Digitaria Iburua),Black Fonioplants (Digitaria Iburua)
1896,Black fonioplants (Digitaria iburua),Black Fonioplants (Digitaria Iburua)
1897,Black oats (strigous oats),Black Oatplants (Avena Strigosa)
1898,Black oatpants (Avena Strigosa),Black Oatplants (Avena Strigosa)
1899,Saracen treatment plants (Fagopyrum sculentum),Buckwheatplants (Fagopyrum Esculentum)
1900,Plainwheatplants (fagopyrum esculentum),Buckwheatplants (Fagopyrum Esculentum)
1901,Canagua or Coaihuaplants (Chenopodium pallidica),Canagua Or Coaihuaplants (Chenopodium Pallidicaule)
1902,Canagua or Coaihuaplants (Chenopodium Pallidicaule),Canagua Or Coaihuaplants (Chenopodium Pallidicaule)
1903,Canary Plants (Phalaris canariensis),Canary Grassplants (Phalaris Canariensis)
1904,Grass Canaries (Phalaris Canariensis),Canary Grassplants (Phalaris Canariensis)
1905,Milletplants of finger (Eleusine Coracana),Finger Milletplants (Eleusine Coracana)
1906,Millet fingers (Eleusine Coracana),Finger Milletplants (Eleusine Coracana)
1907,Japanese Milletplants (Echinochloa Fumentacea),Japanese Milletplants (Echinochloa Frumentacea)
1908,Japanese Millets (Echinochloa frumentacea),Japanese Milletplants (Echinochloa Frumentacea)
1909,Job's-Tearsplants (Coix Lacryma-Jobi),Job'S-Tearsplants (Coix Lacryma-Jobi)
1910,Job's-Terspants (Coix Lacryma-Jobi),Job'S-Tearsplants (Coix Lacryma-Jobi)
1911,Kamutplants (Triticum Turgidum Sub. Turanicum),Kamutplants (Triticum Turgidum subsp. Turanicum)
1912,Kamutpants (Triticum Turgidum Subp. Turanicum),Kamutplants (Triticum Turgidum subsp. Turanicum)
1913,Koda or Dark Muelas (Paspalum Scrobiculatum),Koda Or Ditch Milletplants (Paspalum Scrobiculatum)
1914,Koda or milletpants of ditch (Paspalum scrobiculatum),Koda Or Ditch Milletplants (Paspalum Scrobiculatum)
1915,Maizeplants (Zea Mays Sub. Mays),Maizeplants (Zea Mays subsp. Mays)
1916,Maizeplants (Zea Mays Subp. Mays),Maizeplants (Zea Mays subsp. Mays)
1917,Milletples (Panicum spp.),Milletplants (Panicum Spp.)
1918,Millets (Panicum spp.),Milletplants (Panicum Spp.)
1919,AVENA (AVEANA SATIVA),Oatsplants (Avena Sativa)
1920,Oat plants (Avena Sativa),Oatsplants (Avena Sativa)
1921,Pearl or Cattail Milletples (Pennisetum glaucum),Pearl Or Cattail Milletplants (Pennisetum Glaucum)
1922,Millets of pearls or catroads (Pennisetum Glaucum),Pearl Or Cattail Milletplants (Pennisetum Glaucum)
1923,Polish wheat templates (triticum polyonicum),Polish Wheatplants (Triticum Polonicum)
1924,Poles of wheat (Triticum Polonic),Polish Wheatplants (Triticum Polonicum)
1925,Quinueaplants (quinoa quinoa),Quinoaplants (Chenopodium Quinoa)
1926,Rice templates (Oryza sativa),Riceplants (Oryza Sativa)
1927,Ricepants (Oryza Sativa),Riceplants (Oryza Sativa)
1928,Ryeplants (dry cereale),Ryeplants (Secale cereale)
1929,RYEPLANTS (SECLE CERAALE),Ryeplants (Secale cereale)
1930,Sorghumplants (Bicolor sorghum),Sorghumplants (Sorghum Bicolor)
1931,Sorghummumping (sorghum bicolor),Sorghumplants (Sorghum Bicolor)
1932,SPELTPLANTS (Triticum Spelta),Speltplants (Triticum Spelta)
1933,Speltpants (Triticum Spelta),Speltplants (Triticum Spelta)
1934,Teff/tingeraplants (eragrostis tef),Teff/Ingeraplants (Eragrostis Tef)
1935,Teff / Ingerapy (eragrostis tef),Teff/Ingeraplants (Eragrostis Tef)
1936,Triticeplants (Triticasecale),Triticaleplants (Triticosecale)
1937,TRITICALPLANTS (TRITICOSECAL),Triticaleplants (Triticosecale)
1938,Wheat plants (Triticum spp.),Wheatplants (Triticum spp.)
1939,White fonioplants (Digitaria Exilis),White Fonioplants (Digitaria Exilis)
1940,Wild templates (Zizania Aquatica),Wild Riceplants (Zizania Aquatica)
1941,Ricepants wild (Zizania aquatica),Wild Riceplants (Zizania Aquatica)
1942,Aloe Veraplants (Aloe Vera),Aloe Veraplants (Aloe vera)
1943,Aloe verapy (aloe vera),Aloe Veraplants (Aloe vera)
1944,Asam gelugurrees (Garcinia atraviridis),Asam Gelugurtrees (Garcinia atroviridis)
1945,Asam Gelugurtrees (Garcinia Atroviridis),Asam Gelugurtrees (Garcinia atroviridis)
1946,Cocoa (Theobroma cocoa),Cacaotrees (Theobroma cacao)
1947,CACARES (Theobroma cocoa),Cacaotrees (Theobroma cacao)
1948,Camomilaplants (Matricaria Chamomilla),Camomilaplants (Matricaria chamomilla)
1949,Chamomilla matricaria),Camomilaplants (Matricaria chamomilla)
1950,Cape aloeplants (Aloe ferox),Cape Aloeplants (Aloe ferox)
1951,Aloplant cape (Aloe Ferox),Cape Aloeplants (Aloe ferox)
1952,ELECAMPANEPLANTS (INULA HELENIUM),Elecampaneplants (Inula helenium)
1953,Elecampanplants (Inula Helenium),Elecampaneplants (Inula helenium)
1954,Guaranaplants (Paullinia Cupana),Guaranaplants (Paullinia cupana)
1955,Imberees (Garcinia Livingstonei),Imbetrees (Garcinia livingstonei)
1956,Imbtrees (Garcinia Livingstonei),Imbetrees (Garcinia livingstonei)
1957,Kavashrubs (Piper Methesticum),Kavashrubs (Piper methysticum)
1958,Kavashrubs (Piper Méthysticum),Kavashrubs (Piper methysticum)
1959,Kinatrees (Cincona),Kinatrees (Cinchona)
1960,Knapweedpants (Centaurea),Knapweedplants (Centaurea)
1961,Ledumplants (Ledum groenlandum),Ledumplants (Ledum groenlandicum)
1962,LEDUDUPLANTS (Ledum Groenlandiccum),Ledumplants (Ledum groenlandicum)
1963,Moringatrees (Moringa Oleifera),Moringatrees (Moringa oleifera)
1964,Moringatrees (Moringa Oleifera),Moringatrees (Moringa oleifera)
1965,Rooibosplants (Aspalethus linearis),Rooibosplants (Aspalathus linearis)
1966,ROOIBOSPANTS (Aspalathus linearis),Rooibosplants (Aspalathus linearis)
1967,Roselleplants (Hibiscus sabdarifffa),Roselleplants (Hibiscus sabdariffa)
1968,ROSELLEPLANTS (Hibiscus sabdariffa),Roselleplants (Hibiscus sabdariffa)
1969,Sennnaplants (Senna Alexandrina),Sennaplants (Senna alexandrina)
1970,Sennaplants (Senna Alexandrina),Sennaplants (Senna alexandrina)
1971,Socotrine Aloeplants (Aloe Perryi),Socotrine Aloeplants (Aloe perryi)
1972,Socotrine aloplants (Aloe Perryi),Socotrine Aloeplants (Aloe perryi)
1973,Teashrubs (camellia sinensis),Teashrubs (Camellia sinensis)
1974,Teatreeplants (LEPTOSPERMUM),Teatreeplants (Leptospermum)
1975,Teatreplants (leptospermum),Teatreeplants (Leptospermum)
1976,Violetples (Viola),Violetplants (Viola)
1977,Violetplants (Alto),Violetplants (Viola)
1978,Wine palmrees (Jubaea),Wine Palmtrees (Jubaea)
1979,Viticultural palmtrems (Jubaea),Wine Palmtrees (Jubaea)
1980,Topapeplants (Vitis Vinifera),Winegrapeplants (Vitis vinifera)
1981,Vineyards (vitis vinifera),Winegrapeplants (Vitis vinifera)
1982,Yerba Mateplants (Ilex Paraguariensis),Yerba Mateplants (Ilex paraguariensis)
1983,Yerba Mateplants (Ilex Paraguariensis),Yerba Mateplants (Ilex paraguariensis)
1984,Atemoya Trees (Annona X Atemoya),Atemoya trees (Annona x atemoya)
1985,Atemoya Trees (Annona X Atemoya),Atemoya trees (Annona x atemoya)
1986,Bulock Heart trees (Annona Reticulata),Bullock heart trees (Annona reticulata)
1987,Bullock Heart Trees (Annona Reticulata),Bullock heart trees (Annona reticulata)
1988,Cherimoya trees (Annona Cherimola),Cherimoya trees (Annona cherimola)
1989,Cherimoya Trees (Annona Cherimola),Cherimoya trees (Annona cherimola)
1990,Ilama Trees (Annona diversifolia),Ilama trees (Annona diversifolia)
1991,Potato trees (Asiine),Pawpaw trees (Asimina)
1992,PAWPAW TREES (Asimina),Pawpaw trees (Asimina)
1993,SO MENTEP TREES (ANNONA MURICATA),Soursop trees (Annona muricata)
1994,Soursop trees (Annona Muricata),Soursop trees (Annona muricata)
1995,Sweetsop/Apu Manzanos (Annona Squamosa),Sweetsop/Sugar apple trees (Annona squamosa)
1996,Sweetsop / Sugar Pommasseau (Annona Squamosa),Sweetsop/Sugar apple trees (Annona squamosa)
1997,Abyssinian transa (ventricious rinse),Abyssinian Banana trees (Ensete ventricosum)
1998,Abyssinian bananas (Ventricosum inte),Abyssinian Banana trees (Ensete ventricosum)
1999,Babybanana bushes (Musa accuminata - AA),Babybanana shrubs (Musa acuminata - AA)
2000,Babybanana shrubs (Musa Acuminata - AA),Babybanana shrubs (Musa acuminata - AA)
2001,Cavendish banana shrubs (muse accuminate - AAA),Cavendish banana shrubs (Musa acuminata - AAA)
2002,Cavendish Banana shrubs (Musa Acuminata - AAA),Cavendish banana shrubs (Musa acuminata - AAA)
2003,Lacatan banana shrubs (muse accuminate × M. Balbisian,Lacatan banana shrubs (Musa acuminata × M. balbisiana - AA Group- Lakatan)
2004,Lacatan banana shrubs (Musa Acuminata × M. Balbisiana - Aa Group- Lakatan),Lacatan banana shrubs (Musa acuminata × M. balbisiana - AA Group- Lakatan)
2005,Banana Banana (or apple) (Muse Accumination × M. Balbisiana (AAB Group) silk),Latundan (or apple) banana shrubs (Musa acuminata × M. balbisiana (AAB Group) Silk)
2006,Latundan banana shrubs (or apple) (Musa Acuminata × M. Balbisiana (AAB group) in silk),Latundan (or apple) banana shrubs (Musa acuminata × M. balbisiana (AAB Group) Silk)
2007,Banana banana bushes (muse X paradisiaca - AAB),Plantain Banana shrubs (Musa x paradisiaca - AAB)
2008,Plantain banana shrubs (Musa X Paradisiaca - AAB),Plantain Banana shrubs (Musa x paradisiaca - AAB)
2009,RED DACCA BANANA bushes (muse accuminate - AAA VAR. Rubra),Red Dacca banana shrubs (Musa acuminata - AAA var. Rubra)
2010,Red Dacca banana shrubs (Musa Acuminata - AAA Var. Rubra),Red Dacca banana shrubs (Musa acuminata - AAA var. Rubra)
2011,Snowbanana trees (teach glaucum),Snowbanana trees (Ensete glaucum)
2012,Snowbanana Trees (glaucum inte),Snowbanana trees (Ensete glaucum)
2013,Acerola/Barbados-Charrytrees (Malpighia Emarginata),Acerola/Barbados-cherrytrees (Malpighia emarginata)
2014,ACEROLA / BARBADOS-CHERRYTREES (Malpighia Emarginata),Acerola/Barbados-cherrytrees (Malpighia emarginata)
2015,American Cranbershrubs (Vaccinium macrocarpon),American Cranberryshrubs (Vaccinium macrocarpon)
2016,American cranberryshrubs (Vaccinium macrocarpon),American Cranberryshrubs (Vaccinium macrocarpon)
2017,American Gooseberyshrubs (Ribes Hirtellum),American Gooseberryshrubs (Ribes Hirtellum)
2018,American Gooseberryhrubs (Ribes Hirtallim),American Gooseberryshrubs (Ribes Hirtellum)
2019,BEARBERRYRES (ARCTOSTAFYLOS UVA-OSI),Bearberrytrees (Arctostaphylos uva-ursi)
2020,Bearberrytrees (Arctostaphylos Uva-Ursi),Bearberrytrees (Arctostaphylos uva-ursi)
2021,Bilberyshrubs (Vaccinium myrtillus),Bilberryshrubs (Vaccinium myrtillus)
2022,Bilberryshrubs (Myrtillus vaccinium),Bilberryshrubs (Vaccinium myrtillus)
2023,Huckleberyshrubs black (Vaccinium membranaceum),Black Huckleberryshrubs (Vaccinium membranaceum)
2024,Black Huckleberryrshrubs (Vaccinium membranaceum),Black Huckleberryshrubs (Vaccinium membranaceum)
2025,Blackberryplants (Rubus Fruticosus),Blackberryplants (Rubus fruticosus)
2026,Black Cattle Brush (Ribes Nigrum),Blackcurrant Shrubs (Ribes Nigrum)
2027,Cassis shrubs (Nigrum Ribes),Blackcurrant Shrubs (Ribes Nigrum)
2028,Huckleberyshrubs Blue/Cascade (Delicia Vaccinium),Blue/Cascade Huckleberryshrubs (Vaccinium deliciosum)
2029,Blue / HuckleberryShrubs (Vaccinium Deliciosum),Blue/Cascade Huckleberryshrubs (Vaccinium deliciosum)
2030,Blueberyshrubs (Cyanococcus sect),Blueberryshrubs (Vaccinium sect. Cyanococcus)
2031,Boysenberryples (Rubus Ursinus),Boysenberryplants (Rubus ursinus)
2032,Boysenberryplants (Rubus Ursinus),Boysenberryplants (Rubus ursinus)
2033,Chokebershrubs (Aronia),Chokeberryshrubs (Aronia)
2034,Cloudberyshrubs (Rubus Chamaemorus),Cloudberryshrubs (Rubus Chamaemorus)
2035,Cowberry/lingonberyshrubs (Vitis-Idaea Vaccinium),Cowberry/Lingonberryshrubs (Vaccinium vitis-idaea)
2036,Cowberry / Lingonberryshrubs (Vaccinum vitis-Issaea),Cowberry/Lingonberryshrubs (Vaccinium vitis-idaea)
2037,Crowberry shrub,Crowberry shrubs (Empetrum nigrum)
2038,Corbeau shrubs (Empetrum Nigrum),Crowberry shrubs (Empetrum nigrum)
2039,Dewberyshrubs (Rubus Flagellaris),Dewberryshrubs (Rubus flagellaris)
2040,Dewberryshrubs (Rubus Flagellaris),Dewberryshrubs (Rubus flagellaris)
2041,Eldershrubs (sambucus),Eldershrubs (Sambucus)
2042,Beryshrubs of five flavors (Schisandra chinensis),Five-flavor berryshrubs (Schisandra chinensis)
2043,Berryshrubs with five flavors (Schisandra Chinensis),Five-flavor berryshrubs (Schisandra chinensis)
2044,Golden Currantshrubs (Ribes aureum),Golden currantshrubs (Ribes aureum)
2045,Golden Curantshrubs (Aureum Ribes),Golden currantshrubs (Ribes aureum)
2046,Gooseberyshrubs (Ribes Uva-Crispa),Gooseberryshrubs (Ribes Uva-Crispa)
2047,Redcurrant redcurrant (UVA-CRRISPA ribes),Gooseberryshrubs (Ribes Uva-Crispa)
2048,GOUMITREES (Elaeagnus multiflora),Goumitrees (Elaeagnus multiflora)
2049,Gautrees (Multiflora elaeagnus),Goumitrees (Elaeagnus multiflora)
2050,JOSTABERSHRUBS (Ribes X Nidigrolaria),Jostaberryshrubs (Ribes X Nidigrolaria)
2051,Jostaberryshrubs (Ribes X Nirigrolaria),Jostaberryshrubs (Ribes X Nidigrolaria)
2052,Loganberrytrees (Rubus x Loganbaccus),Loganberrytrees (Rubus x loganobaccus)
2053,LOGANBERRYTREES (RUBUS X LOGANOBACCUS),Loganberrytrees (Rubus x loganobaccus)
2054,Madronatrees (Arbutus Menziesii),Madronatrees (Arbutus menziesii)
2055,Madronatees (Arbutus menziesii),Madronatrees (Arbutus menziesii)
2056,Nannyberrytrees (slow viburnum),Nannyberrytrees (Viburnum lentago)
2057,Nannyberrytrees (Viburnum Lentago),Nannyberrytrees (Viburnum lentago)
2058,Raspberries (Rubus Idaeus),Raspberryplants (Rubus idaeus)
2059,Raspberries (Rubus Idaeus),Raspberryplants (Rubus idaeus)
2060,CURRANTSHRUBS Network (Ribes Rubrum),Red Currantshrubs (Ribes Rubrum)
2061,Red Currantshrubs (Ribrum Ribes),Red Currantshrubs (Ribes Rubrum)
2062,Huckleberyshrubs Rojos (Vaccinium parvifolium),Red Huckleberryshrubs (Vaccinium parvifolium)
2063,Red Huckleberryhrubs (parvifolium vaccinum),Red Huckleberryshrubs (Vaccinium parvifolium)
2064,Rowanberrytrees (Sorbus Aucuparia),Rowanberrytrees (Sorbus aucuparia)
2065,Rowanberrytrees (Sorbus NuParia),Rowanberrytrees (Sorbus aucuparia)
2066,Be buckornshrubs (hippophae),Sea Buckthornshrubs (Hippophae)
2067,Sea Serceau (Hippophae),Sea Buckthornshrubs (Hippophae)
2068,Servicetes (domestic sorbus),Servicetrees (Sorbus domestica)
2069,Servicedres (sorbus domestica),Servicetrees (Sorbus domestica)
2070,Small blueberries (oxycoccos vaccinium),Small Cranberryshrubs (Vaccinium oxycoccos)
2071,Small cranberries (Oxycoccos vaccinum),Small Cranberryshrubs (Vaccinium oxycoccos)
2072,Strawberry Plants (Fragaria X Ananassa),Strawberryplants (Fragaria x ananassa)
2073,Strawberries (Fragaria x Ananassa),Strawberryplants (Fragaria x ananassa)
2074,Table -Grapeplants (Vitis sp.),Tablegrapeplants (Vitis sp.)
2075,Table grappling (Vits sp.),Tablegrapeplants (Vitis sp.)
2076,Tayberyshrubs (Tayberry Rubus hybrids),Tayberryshrubs (Rubus Tayberry hybrids)
2077,Tayberryshrubs (Rubus Tayberry Hybrids),Tayberryshrubs (Rubus Tayberry hybrids)
2078,Bareberryplants (Rubus Phoenicolasius),Wineberryplants (Rubus Phoenicolasius)
2079,Wineberryplants (Rubus phoenicolasius),Wineberryplants (Rubus Phoenicolasius)
