,queries,labels
7899,,FRANCE - ALSACE - ALSACE WINE
7900,,FRANCE - ALSACE - ALSACE WINE
7901,,FRANCE - ALSACE - CREMANT D'ALSACE
7902,,FRANCE - ALSACE - CREMANT D'ALSACE
7903,,FRANCE - ARMAGNAC
7904,,FRANCE - ARMAGNAC
7905,,FRANCE - BEAUJOLAIS - BEAUJOLAIS
7906,,FRANCE - BEAUJOLAIS - BEAUJOLAIS
7907,,FRANCE - BEAUJOLAIS - BROUILLY
7908,,FRANCE - BEAUJOLAIS - BROUILLY
7909,,FRANCE - BEAUJOLAIS - CHENAS
7910,,FRANCE - BEAUJOLAIS - CHENAS
7911,,FRANCE - BEAUJOLAIS - CHIROUBLES
7912,,FRANCE - BEAUJOLAIS - CHIROUBLES
7913,,FRANCE - BEAUJOLAIS - CORNAS
7914,,FRANCE - BEAUJOLAIS - CORNAS
7915,,FRANCE - BEAUJOLAIS - COTE DE BROUILLY
7916,,FRANCE - BEAUJOLAIS - COTE DE BROUILLY
7917,,FRANCE - BEAUJOLAIS - COTEAUX DU LYONNAIS
7918,,FRANCE - BEAUJOLAIS - COTEAUX DU LYONNAIS
7919,,FRANCE - BEAUJOLAIS - FLEURIE
7920,,FRANCE - BEAUJOLAIS - FLEURIE
7921,,FRANCE - BEAUJOLAIS - JULIENAS
7922,,FRANCE - BEAUJOLAIS - JULIENAS
7923,,FRANCE - BEAUJOLAIS - MORGON
7924,,FRANCE - BEAUJOLAIS - MORGON
7925,,FRANCE - BEAUJOLAIS - MOULIN-A-VENT
7926,,FRANCE - BEAUJOLAIS - MOULIN-A-VENT
7927,,FRANCE - BEAUJOLAIS - REGNIE
7928,,FRANCE - BEAUJOLAIS - REGNIE
7929,,FRANCE - BEAUJOLAIS - SAINT-AMOUR
7930,,FRANCE - BEAUJOLAIS - SAINT-AMOUR
7931,,FRANCE - BEAUJOLAIS - VILLAGES
7932,,FRANCE - BEAUJOLAIS - VILLAGES
7933,,FRANCE - BORDEAUX - BARSAC
7934,,FRANCE - BORDEAUX - BARSAC
7935,,FRANCE - BORDEAUX - BERGERAC
7936,,FRANCE - BORDEAUX - BERGERAC
7937,,FRANCE - BORDEAUX - BLAYE
7938,,FRANCE - BORDEAUX - BLAYE
7939,,FRANCE - BORDEAUX - BORDEAUX
7940,,FRANCE - BORDEAUX - BORDEAUX
7941,,FRANCE - BORDEAUX - BORDEAUX SUPERIEUR
7942,,FRANCE - BORDEAUX - BORDEAUX SUPERIEUR
7943,,FRANCE - BORDEAUX - CADILLAC
7944,,FRANCE - BORDEAUX - CADILLAC
7945,,FRANCE - BORDEAUX - CANON FRONSAC
7946,,FRANCE - BORDEAUX - CANON FRONSAC
7947,,FRANCE - BORDEAUX - CERONS
7948,,FRANCE - BORDEAUX - CERONS
7949,,FRANCE - BORDEAUX - COTES DE BERGERAC
7950,,FRANCE - BORDEAUX - COTES DE BERGERAC
7951,,FRANCE - BORDEAUX - COTES DE BLAYE
7952,,FRANCE - BORDEAUX - COTES DE BLAYE
7953,,FRANCE - BORDEAUX - COTES DE BORDEAUX
7954,,FRANCE - BORDEAUX - COTES DE BORDEAUX
7955,,FRANCE - BORDEAUX - COTES DE BORDEAUX-SAINT-MACAIRE
7956,,FRANCE - BORDEAUX - COTES DE BORDEAUX-SAINT-MACAIRE
7957,,FRANCE - BORDEAUX - COTES DE BOURG
7958,,FRANCE - BORDEAUX - COTES DE BOURG
7959,,FRANCE - BORDEAUX - CREMANT DE BORDEAUX
7960,,FRANCE - BORDEAUX - CREMANT DE BORDEAUX
7961,,FRANCE - BORDEAUX - ENTRE-DEUX-MERS
7962,,FRANCE - BORDEAUX - ENTRE-DEUX-MERS
7963,,FRANCE - BORDEAUX - FRONSAC
7964,,FRANCE - BORDEAUX - FRONSAC
7965,,FRANCE - BORDEAUX - GAILLAC PREMIERES COTES
7966,,FRANCE - BORDEAUX - GAILLAC PREMIERES COTES
7967,,FRANCE - BORDEAUX - GRAVES
7968,,FRANCE - BORDEAUX - GRAVES
7969,,FRANCE - BORDEAUX - GRAVES DE VAYRES
7970,,FRANCE - BORDEAUX - GRAVES DE VAYRES
7971,,FRANCE - BORDEAUX - GRAVES SUPERIEURES
7972,,FRANCE - BORDEAUX - GRAVES SUPERIEURES
7973,,FRANCE - BORDEAUX - HAUT-MEDOC
7974,,FRANCE - BORDEAUX - HAUT-MEDOC
7975,,FRANCE - BORDEAUX - LALANDE-DE-POMEROL
7976,,FRANCE - BORDEAUX - LALANDE-DE-POMEROL
7977,,FRANCE - BORDEAUX - LISTRAC-MEDOC
7978,,FRANCE - BORDEAUX - LISTRAC-MEDOC
7979,,FRANCE - BORDEAUX - LOUPIAC
7980,,FRANCE - BORDEAUX - LOUPIAC
7981,,FRANCE - BORDEAUX - LUSSAC-SAINT-EMILION
7982,,FRANCE - BORDEAUX - LUSSAC-SAINT-EMILION
7983,,FRANCE - BORDEAUX - MARCILLAC
7984,,FRANCE - BORDEAUX - MARCILLAC
7985,,FRANCE - BORDEAUX - MARGAUX
7986,,FRANCE - BORDEAUX - MARGAUX
7987,,FRANCE - BORDEAUX - MEDOC
7988,,FRANCE - BORDEAUX - MEDOC
7989,,FRANCE - BORDEAUX - MONBAZILLAC
7990,,FRANCE - BORDEAUX - MONBAZILLAC
7991,,FRANCE - BORDEAUX - MONTAGNE-SAINT-EMILION
7992,,FRANCE - BORDEAUX - MONTAGNE-SAINT-EMILION
7993,,FRANCE - BORDEAUX - MOULIS OU MOULIS-EN-MEDOC
7994,,FRANCE - BORDEAUX - MOULIS OU MOULIS-EN-MEDOC
7995,,FRANCE - BORDEAUX - PAUILLAC
7996,,FRANCE - BORDEAUX - PAUILLAC
7997,,FRANCE - BORDEAUX - PECHARMANT
7998,,FRANCE - BORDEAUX - PECHARMANT
7999,,FRANCE - BORDEAUX - PESSAC-LEOGNAN
8000,,FRANCE - BORDEAUX - PESSAC-LEOGNAN
8001,,FRANCE - BORDEAUX - POMEROL
8002,,FRANCE - BORDEAUX - POMEROL
8003,,FRANCE - BORDEAUX - PREMIERES COTES DE BORDEAUX
8004,,FRANCE - BORDEAUX - PREMIERES COTES DE BORDEAUX
8005,,FRANCE - BORDEAUX - PUISSEGUIN-SAINT-EMILION
8006,,FRANCE - BORDEAUX - PUISSEGUIN-SAINT-EMILION
8007,,FRANCE - BORDEAUX - SAINTE-CROIX-DU-MONT
8008,,FRANCE - BORDEAUX - SAINTE-CROIX-DU-MONT
8009,,FRANCE - BORDEAUX - SAINTE-FOY-BORDEAUX
8010,,FRANCE - BORDEAUX - SAINTE-FOY-BORDEAUX
8011,,FRANCE - BORDEAUX - SAINT-EMILION
8012,,FRANCE - BORDEAUX - SAINT-EMILION
8013,,FRANCE - BORDEAUX - SAINT-EMILION GRAND CRU
8014,,FRANCE - BORDEAUX - SAINT-EMILION GRAND CRU
8015,,FRANCE - BORDEAUX - SAINT-ESTEPHE
8016,,FRANCE - BORDEAUX - SAINT-ESTEPHE
8017,,FRANCE - BORDEAUX - SAINT-GEORGES-SAINT-EMILION
8018,,FRANCE - BORDEAUX - SAINT-GEORGES-SAINT-EMILION
8019,,FRANCE - BORDEAUX - SAINT-JULIEN
8020,,FRANCE - BORDEAUX - SAINT-JULIEN
8021,,FRANCE - BORDEAUX - SAUTERNES
8022,,FRANCE - BORDEAUX - SAUTERNES
8023,,FRANCE - BURGUNDY - ALOXE-CORTON
8024,,FRANCE - BURGUNDY - ALOXE-CORTON
8025,,FRANCE - BURGUNDY - AUXEY-DURESSES
8026,,FRANCE - BURGUNDY - AUXEY-DURESSES
8027,,FRANCE - BURGUNDY - BATARD-MONTRACHET
8028,,FRANCE - BURGUNDY - BATARD-MONTRACHET
8029,,FRANCE - BURGUNDY - BEAUJOLAIS
8030,,FRANCE - BURGUNDY - BEAUJOLAIS
8031,,FRANCE - BURGUNDY - BEAUNE
8032,,FRANCE - BURGUNDY - BEAUNE
8033,,FRANCE - BURGUNDY - BIENVENUES-BATARD-MONTRACHET
8034,,FRANCE - BURGUNDY - BIENVENUES-BATARD-MONTRACHET
8035,,FRANCE - BURGUNDY - BLAGNY
8036,,FRANCE - BURGUNDY - BLAGNY
8037,,FRANCE - BURGUNDY - BONNES-MARES
8038,,FRANCE - BURGUNDY - BONNES-MARES
8039,,FRANCE - BURGUNDY - BOURGOGNE ALIGOTE
8040,,FRANCE - BURGUNDY - BOURGOGNE ALIGOTE
8041,,FRANCE - BURGUNDY - BOURGOGNE MOUSSEUX
8042,,FRANCE - BURGUNDY - BOURGOGNE MOUSSEUX
8043,,FRANCE - BURGUNDY - BOURGOGNE PASSE-TOUT-GRAINS
8044,,FRANCE - BURGUNDY - BOURGOGNE PASSE-TOUT-GRAINS
8045,,FRANCE - BURGUNDY - BOUZERON
8046,,FRANCE - BURGUNDY - BOUZERON
8047,,FRANCE - BURGUNDY - BURGUNDY
8048,,FRANCE - BURGUNDY - BURGUNDY
8049,,FRANCE - BURGUNDY - CHABLIS
8050,,FRANCE - BURGUNDY - CHABLIS
8051,,FRANCE - BURGUNDY - CHABLIS GRAND CRU
8052,,FRANCE - BURGUNDY - CHABLIS GRAND CRU
8053,,FRANCE - BURGUNDY - CHAMBERTIN
8054,,FRANCE - BURGUNDY - CHAMBERTIN
8055,,FRANCE - BURGUNDY - CHAMBERTIN-CLOS DE BEZE
8056,,FRANCE - BURGUNDY - CHAMBERTIN-CLOS DE BEZE
8057,,FRANCE - BURGUNDY - CHAMBOLLE-MUSIGNY
8058,,FRANCE - BURGUNDY - CHAMBOLLE-MUSIGNY
8059,,FRANCE - BURGUNDY - CHAPELLE-CHAMBERTIN
8060,,FRANCE - BURGUNDY - CHAPELLE-CHAMBERTIN
8061,,FRANCE - BURGUNDY - CHARLEMAGNE
8062,,FRANCE - BURGUNDY - CHARLEMAGNE
8063,,FRANCE - BURGUNDY - CHARMES-CHAMBERTIN
8064,,FRANCE - BURGUNDY - CHARMES-CHAMBERTIN
8065,,FRANCE - BURGUNDY - CHASSAGNE-MONTRACHET
8066,,FRANCE - BURGUNDY - CHASSAGNE-MONTRACHET
8067,,FRANCE - BURGUNDY - CHEVALIER-MONTRACHET
8068,,FRANCE - BURGUNDY - CHEVALIER-MONTRACHET
8069,,FRANCE - BURGUNDY - CHOREY-LES-BEAUNE
8070,,FRANCE - BURGUNDY - CHOREY-LES-BEAUNE
8071,,FRANCE - BURGUNDY - CLOS DE TART
8072,,FRANCE - BURGUNDY - CLOS DE TART
8073,,FRANCE - BURGUNDY - CLOS DE VOUGEOT OU CLOS VOUGEOT
8074,,FRANCE - BURGUNDY - CLOS DE VOUGEOT OU CLOS VOUGEOT
8075,,FRANCE - BURGUNDY - CLOS DES LAMBRAYS
8076,,FRANCE - BURGUNDY - CLOS DES LAMBRAYS
8077,,FRANCE - BURGUNDY - CLOS SAINT-DENIS
8078,,FRANCE - BURGUNDY - CLOS SAINT-DENIS
8079,,FRANCE - BURGUNDY - CORTON
8080,,FRANCE - BURGUNDY - CORTON
8081,,FRANCE - BURGUNDY - CORTON-CHARLEMAGNE
8082,,FRANCE - BURGUNDY - CORTON-CHARLEMAGNE
8083,,FRANCE - BURGUNDY - CÔTE CHALONNAISE
8084,,FRANCE - BURGUNDY - CÔTE CHALONNAISE
8085,,FRANCE - BURGUNDY - COTE DE BEAUNE
8086,,FRANCE - BURGUNDY - COTE DE BEAUNE
8087,,FRANCE - BURGUNDY - COTE DE BEAUNE-VILLAGES
8088,,FRANCE - BURGUNDY - COTE DE BEAUNE-VILLAGES
8089,,FRANCE - BURGUNDY - COTE DE NUITS-VILLAGES
8090,,FRANCE - BURGUNDY - COTE DE NUITS-VILLAGES
8091,,FRANCE - BURGUNDY - CÔTE D'OR
8092,,FRANCE - BURGUNDY - CÔTE D'OR
8093,,FRANCE - BURGUNDY - COTEAUX BOURGUIGNONS OU BOURGOGNE GRAND ORDINAIRE OU BOURGOGNE ORDINAIRE
8094,,FRANCE - BURGUNDY - COTEAUX BOURGUIGNONS OU BOURGOGNE GRAND ORDINAIRE OU BOURGOGNE ORDINAIRE
8095,,FRANCE - BURGUNDY - COTEAUX DE L'AUXOIS
8096,,FRANCE - BURGUNDY - COTEAUX DE L'AUXOIS
8097,,FRANCE - BURGUNDY - CREMANT DE BOURGOGNE
8098,,FRANCE - BURGUNDY - CREMANT DE BOURGOGNE
8099,,FRANCE - BURGUNDY - CRIOTS-BATARD-MONTRACHET
8100,,FRANCE - BURGUNDY - CRIOTS-BATARD-MONTRACHET
8101,,FRANCE - BURGUNDY - ECHEZEAUX
8102,,FRANCE - BURGUNDY - ECHEZEAUX
8103,,FRANCE - BURGUNDY - FIXIN
8104,,FRANCE - BURGUNDY - FIXIN
8105,,FRANCE - BURGUNDY - GEVREY-CHAMBERTIN
8106,,FRANCE - BURGUNDY - GEVREY-CHAMBERTIN
8107,,FRANCE - BURGUNDY - GIVRY
8108,,FRANCE - BURGUNDY - GIVRY
8109,,FRANCE - BURGUNDY - GRANDS-ECHEZEAUX
8110,,FRANCE - BURGUNDY - GRANDS-ECHEZEAUX
8111,,FRANCE - BURGUNDY - GRIOTTE-CHAMBERTIN
8112,,FRANCE - BURGUNDY - GRIOTTE-CHAMBERTIN
8113,,FRANCE - BURGUNDY - IRANCY
8114,,FRANCE - BURGUNDY - IRANCY
8115,,FRANCE - BURGUNDY - LA GRANDE RUE
8116,,FRANCE - BURGUNDY - LA GRANDE RUE
8117,,FRANCE - BURGUNDY - LA ROMANEE
8118,,FRANCE - BURGUNDY - LA ROMANEE
8119,,FRANCE - BURGUNDY - LA TACHE
8120,,FRANCE - BURGUNDY - LA TACHE
8121,,FRANCE - BURGUNDY - LADOIX
8122,,FRANCE - BURGUNDY - LADOIX
8123,,FRANCE - BURGUNDY - LATRICIERES-CHAMBERTIN
8124,,FRANCE - BURGUNDY - LATRICIERES-CHAMBERTIN
8125,,FRANCE - BURGUNDY - MACON
8126,,FRANCE - BURGUNDY - MACON
8127,,FRANCE - BURGUNDY - MARANGES
8128,,FRANCE - BURGUNDY - MARANGES
8129,,FRANCE - BURGUNDY - MARSANNAY
8130,,FRANCE - BURGUNDY - MARSANNAY
8131,,FRANCE - BURGUNDY - MAZIS-CHAMBERTIN
8132,,FRANCE - BURGUNDY - MAZIS-CHAMBERTIN
8133,,FRANCE - BURGUNDY - MAZOYERES-CHAMBERTIN
8134,,FRANCE - BURGUNDY - MAZOYERES-CHAMBERTIN
8135,,FRANCE - BURGUNDY - MERCUREY
8136,,FRANCE - BURGUNDY - MERCUREY
8137,,FRANCE - BURGUNDY - MEURSAULT
8138,,FRANCE - BURGUNDY - MEURSAULT
8139,,FRANCE - BURGUNDY - MONTAGNY
8140,,FRANCE - BURGUNDY - MONTAGNY
8141,,FRANCE - BURGUNDY - MONTHELIE
8142,,FRANCE - BURGUNDY - MONTHELIE
8143,,FRANCE - BURGUNDY - MONTRACHET
8144,,FRANCE - BURGUNDY - MONTRACHET
8145,,FRANCE - BURGUNDY - MOREY-SAINT-DENIS
8146,,FRANCE - BURGUNDY - MOREY-SAINT-DENIS
8147,,FRANCE - BURGUNDY - MUSIGNY
8148,,FRANCE - BURGUNDY - MUSIGNY
8149,,FRANCE - BURGUNDY - NUITS-SAINT-GEORGES
8150,,FRANCE - BURGUNDY - NUITS-SAINT-GEORGES
8151,,FRANCE - BURGUNDY - PERNAND-VERGELESSES
8152,,FRANCE - BURGUNDY - PERNAND-VERGELESSES
8153,,FRANCE - BURGUNDY - PETIT CHABLIS
8154,,FRANCE - BURGUNDY - PETIT CHABLIS
8155,,FRANCE - BURGUNDY - POMMARD
8156,,FRANCE - BURGUNDY - POMMARD
8157,,FRANCE - BURGUNDY - POUILLY-FUISSE
8158,,FRANCE - BURGUNDY - POUILLY-FUISSE
8159,,FRANCE - BURGUNDY - POUILLY-LOCHE
8160,,FRANCE - BURGUNDY - POUILLY-LOCHE
8161,,FRANCE - BURGUNDY - POUILLY-VINZELLES
8162,,FRANCE - BURGUNDY - POUILLY-VINZELLES
8163,,FRANCE - BURGUNDY - PULIGNY-MONTRACHET
8164,,FRANCE - BURGUNDY - PULIGNY-MONTRACHET
8165,,FRANCE - BURGUNDY - RICHEBOURG
8166,,FRANCE - BURGUNDY - RICHEBOURG
8167,,FRANCE - BURGUNDY - ROMANEE-CONTI
8168,,FRANCE - BURGUNDY - ROMANEE-CONTI
8169,,FRANCE - BURGUNDY - ROMANEE-SAINT-VIVANT
8170,,FRANCE - BURGUNDY - ROMANEE-SAINT-VIVANT
8171,,FRANCE - BURGUNDY - RUCHOTTES-CHAMBERTIN
8172,,FRANCE - BURGUNDY - RUCHOTTES-CHAMBERTIN
8173,,FRANCE - BURGUNDY - RULLY
8174,,FRANCE - BURGUNDY - RULLY
8175,,FRANCE - BURGUNDY - SAINT-AUBIN
8176,,FRANCE - BURGUNDY - SAINT-AUBIN
8177,,FRANCE - BURGUNDY - SAINT-BRIS
8178,,FRANCE - BURGUNDY - SAINT-BRIS
8179,,FRANCE - BURGUNDY - SAINTE-MARIE-LA-BLANCHE
8180,,FRANCE - BURGUNDY - SAINTE-MARIE-LA-BLANCHE
8181,,FRANCE - BURGUNDY - SAINT-ROMAIN
8182,,FRANCE - BURGUNDY - SAINT-ROMAIN
8183,,FRANCE - BURGUNDY - SAINT-VERAN
8184,,FRANCE - BURGUNDY - SAINT-VERAN
8185,,FRANCE - BURGUNDY - SANTENAY
8186,,FRANCE - BURGUNDY - SANTENAY
8187,,FRANCE - BURGUNDY - SAONE-ET-LOIRE
8188,,FRANCE - BURGUNDY - SAONE-ET-LOIRE
8189,,FRANCE - BURGUNDY - SAVIGNY-LES-BEAUNE
8190,,FRANCE - BURGUNDY - SAVIGNY-LES-BEAUNE
8191,,FRANCE - BURGUNDY - VIRE-CLESSE
8192,,FRANCE - BURGUNDY - VIRE-CLESSE
8193,,FRANCE - BURGUNDY - VOLNAY
8194,,FRANCE - BURGUNDY - VOLNAY
8195,,FRANCE - BURGUNDY - VOSNE-ROMANEE
8196,,FRANCE - BURGUNDY - VOSNE-ROMANEE
8197,,FRANCE - BURGUNDY - VOUGEOT
8198,,FRANCE - BURGUNDY - VOUGEOT
8199,,FRANCE - BURGUNDY - YONNE
8200,,FRANCE - BURGUNDY - YONNE
8201,,FRANCE - CHAMPAGNE - CHAMPAGNE
8202,,FRANCE - CHAMPAGNE - CHAMPAGNE
8203,,FRANCE - CHAMPAGNE - CHIGNY-LES-ROSES
8204,,FRANCE - CHAMPAGNE - CHIGNY-LES-ROSES
8205,,FRANCE - CHAMPAGNE - COTEAUX CHAMPENOIS
8206,,FRANCE - CHAMPAGNE - COTEAUX CHAMPENOIS
8207,,FRANCE - CHAMPAGNE - COTEAUX DE COIFFY
8208,,FRANCE - CHAMPAGNE - COTEAUX DE COIFFY
8209,,FRANCE - CHAMPAGNE - HAUTE-MARNE
8210,,FRANCE - CHAMPAGNE - HAUTE-MARNE
8211,,FRANCE - CHAMPAGNE - ROSE DES RICEYS
8212,,FRANCE - CHAMPAGNE - ROSE DES RICEYS
8213,,FRANCE - CHARENTES - CHARENTAIS
8214,,FRANCE - CHARENTES - CHARENTAIS
8215,,FRANCE - CHARENTES - CHARENTAIS CHARENTE
8216,,FRANCE - CHARENTES - CHARENTAIS CHARENTE
8217,,FRANCE - CHARENTES - CHARENTAIS CHARENTE-MARITIME
8218,,FRANCE - CHARENTES - CHARENTAIS CHARENTE-MARITIME
8219,,FRANCE - CHARENTES - CHARENTAIS ILE DE RE
8220,,FRANCE - CHARENTES - CHARENTAIS ILE DE RE
8221,,FRANCE - CHARENTES - CHARENTAIS ILE D'OLERON
8222,,FRANCE - CHARENTES - CHARENTAIS ILE D'OLERON
8223,,FRANCE - CHARENTES - CHARENTAIS SAINT-SORNIN
8224,,FRANCE - CHARENTES - CHARENTAIS SAINT-SORNIN
8225,,FRANCE - CHARENTES - PINEAU DES CHARENTES OU PINEAU CHARENTAIS
8226,,FRANCE - CHARENTES - PINEAU DES CHARENTES OU PINEAU CHARENTAIS
8227,,FRANCE - COGNAC - BOIS À TERROIRS
8228,,FRANCE - COGNAC - BOIS À TERROIRS
8229,,FRANCE - COGNAC - BOIS ORDINAIRES
8230,,FRANCE - COGNAC - BOIS ORDINAIRES
8231,,FRANCE - COGNAC - BONS BOIS
8232,,FRANCE - COGNAC - BONS BOIS
8233,,FRANCE - COGNAC - BORDERIES
8234,,FRANCE - COGNAC - BORDERIES
8235,,FRANCE - COGNAC - FINS BOIS
8236,,FRANCE - COGNAC - FINS BOIS
8237,,FRANCE - COGNAC - GRANDE CHAMPAGNE
8238,,FRANCE - COGNAC - GRANDE CHAMPAGNE
8239,,FRANCE - COGNAC - PETITE CHAMPAGNE
8240,,FRANCE - COGNAC - PETITE CHAMPAGNE
8241,,FRANCE - CORSICA
8242,,FRANCE - CORSICA
8243,,FRANCE - CORSICA - AJACCIO
8244,,FRANCE - CORSICA - AJACCIO
8245,,FRANCE - CORSICA - ILE DE BEAUTE
8246,,FRANCE - CORSICA - ILE DE BEAUTE
8247,,FRANCE - CORSICA - MUSCAT DU CAP CORSE
8248,,FRANCE - CORSICA - MUSCAT DU CAP CORSE
8249,,FRANCE - CORSICA - PATRIMONIO
8250,,FRANCE - CORSICA - PATRIMONIO
8251,,FRANCE - CORSICA - VIN DE CORSE OU CORSE
8252,,FRANCE - CORSICA - VIN DE CORSE OU CORSE
8253,,FRANCE - GASCONY - ARMAGNAC - TÉNARÈZE
8254,,FRANCE - GASCONY - ARMAGNAC - TÉNARÈZE
8255,,FRANCE - GASCONY - BAS - ARMAGNAC
8256,,FRANCE - GASCONY - BAS - ARMAGNAC
8257,,FRANCE - GASCONY - BLANCHE D'ARMAGNAC
8258,,FRANCE - GASCONY - BLANCHE D'ARMAGNAC
8259,,FRANCE - GASCONY - HAUT - ARMAGNAC
8260,,FRANCE - GASCONY - HAUT - ARMAGNAC
8261,,FRANCE - JURA - ARBOIS
8262,,FRANCE - JURA - ARBOIS
8263,,FRANCE - JURA - CHATEAU-CHALON
8264,,FRANCE - JURA - CHATEAU-CHALON
8265,,FRANCE - JURA - COTES DU JURA
8266,,FRANCE - JURA - COTES DU JURA
8267,,FRANCE - JURA - CREMANT DU JURA
8268,,FRANCE - JURA - CREMANT DU JURA
8269,,FRANCE - JURA - FRANCHE-COMTE
8270,,FRANCE - JURA - FRANCHE-COMTE
8271,,FRANCE - JURA - FRANCHE-COMTE BUFFARD
8272,,FRANCE - JURA - FRANCHE-COMTE BUFFARD
8273,,FRANCE - JURA - FRANCHE-COMTE COTEAUX DE CHAMPLITTE
8274,,FRANCE - JURA - FRANCHE-COMTE COTEAUX DE CHAMPLITTE
8275,,FRANCE - JURA - FRANCHE-COMTE DOUBS
8276,,FRANCE - JURA - FRANCHE-COMTE DOUBS
8277,,FRANCE - JURA - FRANCHE-COMTE GY
8278,,FRANCE - JURA - FRANCHE-COMTE GY
8279,,FRANCE - JURA - FRANCHE-COMTE HAUTE-SAONE
8280,,FRANCE - JURA - FRANCHE-COMTE HAUTE-SAONE
8281,,FRANCE - JURA - FRANCHE-COMTE HUGIER
8282,,FRANCE - JURA - FRANCHE-COMTE HUGIER
8283,,FRANCE - JURA - FRANCHE-COMTE MOTEY-BESUCHE
8284,,FRANCE - JURA - FRANCHE-COMTE MOTEY-BESUCHE
8285,,FRANCE - JURA - FRANCHE-COMTE OFFLANGES
8286,,FRANCE - JURA - FRANCHE-COMTE OFFLANGES
8287,,FRANCE - JURA - L'ETOILE
8288,,FRANCE - JURA - L'ETOILE
8289,,FRANCE - JURA - MACVIN DU JURA
8290,,FRANCE - JURA - MACVIN DU JURA
8291,,FRANCE - JURA -FRANCHE-COMTE VUILLAFANS
8292,,FRANCE - JURA -FRANCHE-COMTE VUILLAFANS
8293,,FRANCE - LANGUEDOC - AUDE
8294,,FRANCE - LANGUEDOC - AUDE
8295,,FRANCE - LANGUEDOC - AUDE COTEAUX DE LA CABRERISSE
8296,,FRANCE - LANGUEDOC - AUDE COTEAUX DE LA CABRERISSE
8297,,FRANCE - LANGUEDOC - AUDE COTEAUX DE MIRAMONT
8298,,FRANCE - LANGUEDOC - AUDE COTEAUX DE MIRAMONT
8299,,FRANCE - LANGUEDOC - AUDE COTES DE LASTOURS
8300,,FRANCE - LANGUEDOC - AUDE COTES DE LASTOURS
8301,,FRANCE - LANGUEDOC - AUDE COTES DE PROUILHE
8302,,FRANCE - LANGUEDOC - AUDE COTES DE PROUILHE
8303,,FRANCE - LANGUEDOC - AUDE HAUTERIVE
8304,,FRANCE - LANGUEDOC - AUDE HAUTERIVE
8305,,FRANCE - LANGUEDOC - AUDE LA COTE REVEE
8306,,FRANCE - LANGUEDOC - AUDE LA COTE REVEE
8307,,FRANCE - LANGUEDOC - AUDE PAYS DE CUCUGNAN
8308,,FRANCE - LANGUEDOC - AUDE PAYS DE CUCUGNAN
8309,,FRANCE - LANGUEDOC - AUDE VAL DE CESSE
8310,,FRANCE - LANGUEDOC - AUDE VAL DE CESSE
8311,,FRANCE - LANGUEDOC - AUDE VAL DE DAGNE
8312,,FRANCE - LANGUEDOC - AUDE VAL DE DAGNE
8313,,FRANCE - LANGUEDOC - CABARDES
8314,,FRANCE - LANGUEDOC - CABARDES
8315,,FRANCE - LANGUEDOC - CEVENNES
8316,,FRANCE - LANGUEDOC - CEVENNES
8317,,FRANCE - LANGUEDOC - CITE DE CARCASSONNE
8318,,FRANCE - LANGUEDOC - CITE DE CARCASSONNE
8319,,FRANCE - LANGUEDOC - CLAIRETTE DU LANGUEDOC
8320,,FRANCE - LANGUEDOC - CLAIRETTE DU LANGUEDOC
8321,,FRANCE - LANGUEDOC - CORBIERES
8322,,FRANCE - LANGUEDOC - CORBIERES
8323,,FRANCE - LANGUEDOC - CORBIERES-BOUTENAC
8324,,FRANCE - LANGUEDOC - CORBIERES-BOUTENAC
8325,,FRANCE - LANGUEDOC - COTEAUX DE NARBONNE
8326,,FRANCE - LANGUEDOC - COTEAUX DE NARBONNE
8327,,FRANCE - LANGUEDOC - COTEAUX DE PEYRIAC
8328,,FRANCE - LANGUEDOC - COTEAUX DE PEYRIAC
8329,,FRANCE - LANGUEDOC - COTEAUX DE PEYRIAC HAUT DE BADENS
8330,,FRANCE - LANGUEDOC - COTEAUX DE PEYRIAC HAUT DE BADENS
8331,,FRANCE - LANGUEDOC - COTEAUX D'ENSERUNE
8332,,FRANCE - LANGUEDOC - COTEAUX D'ENSERUNE
8333,,FRANCE - LANGUEDOC - COTEAUX DU LIBRON
8334,,FRANCE - LANGUEDOC - COTEAUX DU LIBRON
8335,,FRANCE - LANGUEDOC - COTEAUX DU LIBRON LES COTEAUX DE BEZIERS
8336,,FRANCE - LANGUEDOC - COTEAUX DU LIBRON LES COTEAUX DE BEZIERS
8337,,FRANCE - LANGUEDOC - COTEAUX DU PONT DU GARD
8338,,FRANCE - LANGUEDOC - COTEAUX DU PONT DU GARD
8339,,FRANCE - LANGUEDOC - COTES DE THAU
8340,,FRANCE - LANGUEDOC - COTES DE THAU
8341,,FRANCE - LANGUEDOC - COTES DE THAU CAP D'AGDE
8342,,FRANCE - LANGUEDOC - COTES DE THAU CAP D'AGDE
8343,,FRANCE - LANGUEDOC - COTES DE THONGUE
8344,,FRANCE - LANGUEDOC - COTES DE THONGUE
8345,,FRANCE - LANGUEDOC - CREMANT DE LIMOUX
8346,,FRANCE - LANGUEDOC - CREMANT DE LIMOUX
8347,,FRANCE - LANGUEDOC - FAUGERES
8348,,FRANCE - LANGUEDOC - FAUGERES
8349,,FRANCE - LANGUEDOC - FITOU
8350,,FRANCE - LANGUEDOC - FITOU
8351,,FRANCE - LANGUEDOC - GARD
8352,,FRANCE - LANGUEDOC - GARD
