Airbrushes (Powered),Aerógrafos (alimentados),Aérographes (alimenté),Airographs (fed),Airbrush (powered)
Shiitake Mushroom Funghi (Lentinula Edodes),Shiitake Mushroom Funghi (Lentinula Edodes),Shiitake Mushroom Funghi (Lentiula Edodes),Shiitake Mushroom Funghi (Lentinula Edodes),Shiitake Mushroom Funghi (Lentila Edodes)
Truffle Funghi (Tuber Aestivum),Truffle Funghi (tuber aestivum),Truffe funghi (tuber aestivum),Tuffle Funghi (Tuber Aestivum),Funghi truffle (Tuber Aestivum)
Wild Mushroom Funghi,Funghi de hongos salvajes,Funghi aux champignons sauvages,Funghi of wild fungi,Funghi with wild mushrooms
Alexandersplants (Smyrnium Olusatrum),Alexandersplants (Smyrnium olusatrum),AlexandersPlants (Smyrnium olusatrum),Alexandersplants (Smyrnium olusatrum),Alexandersplants (Smyrnium olusatrum)
Angelicaplants (Angelica Archangelica),Angelicapuladores (Angelica Archangelica),Angelicaplants (Angelica Archangelica),ANGELICAPULATORS (ANGELICA ARCHANGELICA),Angelicaplants (Angelica Archangelica)
Aniseplants (Pimpinella Anisum),Aniseplants (Pimpinella anisum),Aniseplants (pimpinella anisum),Aniseplants (Pimpinella Anisum),Aniseplants (pimpinella anisum)
Asiatic Ginsengplants (Panax),Ginsengplants asiáticos (Panax),Ginsengplants asiatiques (Panax),Asian ginsengplants (Panax),Asian ginsengplants (Panax)
Basilplants (Basilicum Spp.),PLANTAS DE BASILA (Basilicum spp.),Basilpants (Basilicum spp.),Basila plants (Basilicum spp.),Basilpants (Basilicum spp.)
Bayleafplants (Laurus Nobilis),BayleAfplants (Laurus nobilis),Bayleafpants (Laurus nobilis),Bayleafplants (laurus nobilis),Bayleafpants (Laurus nobilis)
Bee Balmplants (Monarda Didyma),Balmplants (Monarda Didyma),Balmplants d'abeilles (Monarda Didyma),Balmplants (monarch Didyma),Balmplants of bees (Monarda Didyma)
Blessed Milkthistleplants (Silybum Marianum),Blessed Milkthistleplants (Silybum marianum),MilkthistlePlants bénies (Silybum marianum),Blessed Milkthistleplants (Silybum Marianum),Milkthistleplants blessed (Silybum Marianum)
Boldoplants (Peumus Boldus),Boldoplants (Peumus boldus),Boldoplants (Peumus Boldus),Boldoplants (Peumus boldus),Boldoplants (Peumus Boldus)
Borageplants (Borago Officinalis),Borageplants (Borago officinalis),BoragePlants (Borago officinalis),Borageples (Borago officinalis),BORAGEPLANTS (BORAGO Officinalis)
Burnetplants (Sanguisorba Spp.),Burnetplants (Sanguisorba spp.),BurnetPlants (Sanguisorba spp.),Burnetples (Sanguisorba spp.),Burnetplants (Sanguisorba spp.)
Celeryplants (Apium Graveolens),Celeryplants (Apium Graveolens),Ceryplants (Apium Graveolens),Ceryryplants (Apium Severoolens),Ceryplants (Graveolens Apium)
Chervilplants (Anthriscus Cerefolium),Chervilplants (Anthriscus Cerefolium),CervilPlants (Anthriscus cerefolium),Chervilplants (anthriscus cereopholium),Cervilplants (anthriscus cerefolium)
Chiveplants (Allium Schoenoprasum),Chiveplants (Allium Schoenoprasum),ChivePlants (Allium Schoenoprasum),Chiveples (Allium Schoenoprasum),CHIVEPLANTS (Allium Schoenoprasum)
Cilantro/Corianderplants (Coriandrum Sativum),Cilantro/Corianderplants (Coriandrum sativum),Coriandre / corianderpants (coriandrum sativum),Coriander/corianderplants (coriandrum sativum),Coriander / Corianderpants (Coriandrum Sativum)
Country Borage/Mexican Mintplants (Plectranthus Amboinicus),Boraje del país/Mintplants mexicanos (Plectranthus amboinicus),Country Borage / Mintpants mexicains (Plectranthus ambinicus),Borning of the Mexican country/Mintplants (Pectranthus amoinicus),Country Borage / Mexican Mintpants (Plecturing Ambinicus)
Dandelionplants (Taraxacum),Dandelionplants (Taraxacum),Plantièmes de pissenlit (Taraxacum),Dandelionplants (Taraxacum),Dandelion plants (Taraxacum)
Dillplants (Anethum Graveolens),Plantillas (Anethum Graveolens),Dillplants (anethum graveolens),Templates (anethum severeolens),Dillplants (Graveolens Anethum)
Fenugreekplants (Trigonella Foenum-Graecum),Fenugrecidos (Trigonella foenum-greecum),Fenugreekplants (Trigonella foenum-graecum),FENUGREDED (Trigonella Foenum-Greecum),Fenugreekplants (trigonella foenum-gracum)
Fingerrootplants (Boesenbergia Rotunda),Rootplants (Boesenbergia Rotonda),Fingerrootpants (Boesenbergia Rotunda),Rootplants,Fingerrootpants (Boesenbergia Rotunda)
Garlic Chiveplants (Allium Tuberosum),Chiveplants de ajo (Allium tuberosum),Camique à l'ail (Allium tuberosum),Garlic chiveplants (Allium tuberosum),Garlic CAMIC (Tuberosum Allium)
Gentianplants (Gentiana Spp.),Gentianplants (Gentiana spp.),GentianPlants (Gentiana spp.),Gentianplants (Gentiana spp.),Gentianplants (Gentiana spp.)
Guascaplants (Galinsoga Parviflora),Guascaplants (Galinsoga parviflora),Guascaplants (Galinsoga parviflora),Guascaplants (Galinsoga Plviflora),Guascaplants (Galinsoga Parviflora)
Hyssopplants (Hyssopus Officinalis),Hissopplants (Hyssopus officinalis),Hyssoppants (Hyssopus officinalis),Hissopplants (Hyssopus officinalis),Hyssoppants (Hyssopus officinalis)
Indian Tobaccoplants (Lobelia Inflata),Tebacoplants indios (Lobelia inflata),Tobaccolants indiens (Lobelia inflata),Indian TebacoPlas (Lobelia Inflata),Indian tobacco -crops (Lobelia inflata)
Johnny Jumpplants (Viola Tricolor),Johnny Jumplants (Viola Tricolor),Johnny Jumpplants (Viola Tricolor),Johnny Jumplants (Tricolor Viola),Johnny Jumpplants (Viola Tricolor)
Lemon Balmplants (Melissa Officinalis),Balmplants de limón (Melissa officinalis),Citron balmplants (Melissa officinalis),Lemon Balmplants (Melissa officinalis),Balmpting lemon (melissa officinalis)
Lemon Verbenaplants (Aloysia Citriodora),Verbenaplantes de limón (Aloysia citriodora),Verbenaplants de citron (Aloysia Citriodora),Lemon Verbenaplants (Aloysia Citriodora),Lemon verbenaplates (Aloysia Citriodora)
Lemongrass/Citronellaplants (Cymbopogon Citratus),Lemongrass/Citronelaplants (Cymbopogon Citratus),Citronnelle / citronellaplants (Cymbopogon citratus),Lemongrass/citronelaplants (cymbopogon citratus),Lemongrass / lemonellaplants (Cymbopogon Citratus)
Lovageplants (Levisticum Officinale),Lovageplants (Levisticum officinale),LovagePlants (Lévistique officinale),LOVAGEPLANTS (LEVIVICUM OFFICINALE),LOVING PLAYS (Lévistique officinale)
Marjoramplants (Origanum Majorana),Marjoramplants (Origanum Majorana),Marjoramplants (Origanum majorana),Marjorampplants (Origanum Majorana),Marjoramplants (Origanum Majorana)
Meadowsweetplants (Filipendula Ulmaria),Meadowsweetplants (Filipendula Ulmaria),MeadowsweetPlants (Filipendula ulmaria),Meadowsweetplants (Filipendula Ulmaria),Meadowsweetplants (Filipendula Ulmaria)
Mintplants (Mentha Spp.),Mintplants (Mentha spp.),MintLants (Mentha spp.),Mintplants (Mentha spp.),Mintants (Mentha spp.)
Mugwortplants (Artemisia Vulgaris),Mugwortplants (Artemisia vulgaris),MugwortPlants (Artemisia vulgaris),Mugwortplants (Artemisia vulgaris),Mugwortplants (Artemisia vulgaris)
Origanoplants (Origanum Vulgare),Origanoplants (Origanum Vulgare),Origanoplants (Origanum vulgare),Origanoplants (Origanum vulgare),Oreganoplants (Origanum Vulgare)
Parsleyplants (Petroselinum Crispum),Parseléplices (Petroselinum crispum),Parsleypants (Petroselinum crispum),PARSELÉPLES (PETROSELINUM CRISPUM),Parsleypants (Petroselinum Crispum)
Perilla and Shisoplants (Perilla Frutescens),Perilla y shisoplants (perilla frutescens),Périlla et shisoplants (perilla frutescens),Knob and shisoplants (frutenscens knob),Perilla and Shisoplants (Péilla Frutescens)
Pot Marigoldplants (Calendula Officinalis),Pot Marigoldplants (Calendula officinalis),Pot MarigoldPlants (Calendula officinalis),Pot Marigoldplants (calendula officinalis),Marigoldplants pot (Calendula Officinalis)
Purple Coneflowerplants (Echinacea Purpurea),Purple Coneflowerplants (Echinacea purpurea),Purple ConeflowerPlants (Echinacea purpurea),PURPLE CONTEFLOWERPLANTS (ECHINACEA PURPUREA),Purple coneflowerplants (Echinacea Purpurea)
Ramsonplants (Allium Ursinum),Ramsonplants (Allium ursinum),RamsonPlants (Allium ursinum),Ramsonplants (Allium Ursinum),Ramsonplants (Allium Ursinum)
Ribwort Plantainplants (Plantago Lanceolata),Ribwort Plantainplants (Plantago lanceolata),Ribwort Plantainpants (Plantago Lanceolata),Ribwort PlantaInplants (Plantago Lanceolata),Ribwort Plantainpants (Plantago Lanceolata)
Rice Paddy Herbplants (Limnophila Aromatica),Plantillas de hierbas de arroz (Limnophila aromatica),Herbplants de riz (Limnophila aromatica),Rice herbal templates (aromatic limnophila),Rice herbplants (Limnophila Aromatica)
Rosemaryplants (Rosmarinus Officinalis),Rosemaryplants (Rosmarinus officinalis),RosemaryPlants (Rosmarinus officinalis),Rosemaryplants (rosmarinus officinalis),ROSEMARYPLANTS (Rosmarinus officinalis)
Rueplants (Ruta Graveolens),Rueplants (Ruta Graveolens),Ruiplants (Ruta Graveolens),RENPLANTS (ROUTE SERIOUS),Ruiplants (Ruta Graveolens)
Sageplants (Salvia Officinalis),Sageplants (Salvia officinalis),Sageplants (Salvia officinalis),Sageplants (Salvia officinalis),SAGEPLANTS (Salvia officinalis)
Sassafrasplants (Sassafras Albidum),SassaFrasplants (Sassafras albidum),Sassafraspants (Sassafras albidum),SassAfrasplants (Sassafras albidum),Sassafraspants (Sassafras albidum)
Savoryplants (Satureja),PLANTAS SABORY (Satureja),SavoryPlants (satureja),Sabory plants (Satureja),SAVORYPLANTS (Satureja)
Sour Dockplants (Rumex Arcticus),Sour Dockplants (Rumex Arcticus),Docks aigres (Rumex arcticus),SOUR DOCKPLANTS (Rumex Arcticus),Strong docks (rumex arcticus)
Steviaplants (Stevia Rebaudiana),Steviaplants (Stevia rebaudiana),SteviaPlants (Stevia Rebaudiana),Steviaplants (Stevia Rebaudiana),Steviaplants (Stevia Rebaudiana)
Sweet Cicelyplants (Myrrhis Odorata),Dulces cicelyplants (myrrhis odorata),Sweet CicelyPlants (Myrrhis odorata),Sweets Cicelyplants (Myrrhis Odorata),Sweet Cicelyplants (Myrrhis Odorata)
Tarragonplants (Artemisia Dracunculus),Tarragonplants (Artemisia dracunculus),Tarragon plantes (Artemisia dracunculus),Tarragonplants (Artemisia Dracunculus),Tarragon Plants (Artemisia Dracculus)
Thymeplants (Thymus Vulgaris),Tymeplants (tymo vulgaris),Thymollants (Thymus vulgaris),Tymeplants (Tymo vulgaris),Thymollants (Thymus vulgaris)
Wasibiplants (Eutrema Japonicum),Wasibiplants (Eutrema japonicum),Wasibiplants (Eutrema japonicum),Wasibiplants (Japonicum Eutrema),Wasibiplants (Eutrema Japanicum)
Wormwoodplants/Absinth (Artemisia Absinthium),Wormwoodplants/Absinth (Artemisia absinthium),Wormwoodpants / absinthe (Artemisia Absinthium),Wormwoodplants/absinth (artemisia absinthium),Wormwoodpants / Absinthe (Artemisia Absinthium)
Adzuki Bean Plansplants (Vigna Angularis),Planes Adzuki Bean (Vigna angularis),Adzuki Bean PlansPlants (Vigna angularis),Adzuki Bean plans (Vigna Angularis),Adzuki Bean Plansplants (Vigna Angularis)
African Locust Beantrees (Parkia Biglobosa),Frijoles africanos (Parkia biglobosa),Beebusts africain Locust (Parkia Biglobosa),African beans (Parkia Biglobosa),African Beebus Locust (Parkia Biglobosa)
Asian Pigeonwingplants (Clitoria Ternatea),Pigeonwingplants asiáticos (CLITORIA TERNATEA),PigeonwingPlants asiatiques (Clitoria ternatea),Pigeonwingplas Asian (clitoria ternatea),Asian pigeonwingplants (Clitoria Ternatea)
Asparagus Peaplants (Tetragonolobus Purpureus),Peaplantes de espárragos (Tetragonolobus purpureus),Asparagus PEAPLANTS (Tetragonolobus purpureus),Asparagus peplants (tetragonolobus morteus),Asparagus peaplants (tetragonolobus purpureus)
Blackeyed Peaplants (Vigna Unguiculata),PEAPLANTES BLACKEYED (Vigna unguiculata),Blackeyed Peaplants (Vigna unguiculata),Peoplantes Blackeyed (Vigna Unguiculata),Blackeyed Peaplants (Vigna Unguiculata)
Broad Beanplants (Vicia Faba var. Major),Plantes de judías (Vicia Faba Var. Major),Larges haricots (vicia faba var. Major),Beans (Vicia Faba Var. Major),Large beans (Vicia Faba Var. Major)
Chikpeaplants (Cicer Arietinum),Chikpeplants (Cicer Arietinum),ChikpeAplants (Cicer arietinum),Chikpeplants (Cicer Arietinum),Chikpeaplants (Cicer Arietinum)
Earthnut Peaplants (Lathyrus Tuberosus),PEAPLANTES DE CONTRA DEL TIERRA (Lathyrus tuberosus),Pain de terre de terre (Lathyrus tuberosus),Peoplants against Earth (lathyrus tuberosus),Earthfield bread (Lathyrus Tuberosus)
Field Beanplants (Vicia Faba subsp. Minor),Field Beanplants (Vicia Faba subsp. Menor),Field BeanPlants (Vicia Faba subsp. Minor),Field Beanplants (Vicia Faba Sub. Minor),Field Beanplants (Vicia Faba Subp. Minor)
Field Peaplants (Pisum Sativum Subsp. Arvense),PEAPLANTES DE CAMPO (Pisum sativum subsp. Arvense),Field Peaplants (Pisum sativum subsp. Arvense),Field Peoplants (Pisum sativum Sub. Arvense),Field Peaplants (Pisum Sativum Subp. Arvense)
French And Waxbeanplants (Phaseolus Vulgaris),French and Waxbeanplants (Phaseolus vulgaris),Plants français et cire (Phaseolus vulgaris),French and waxbeanplants (Phaseolus vulgaris),French plants and wax (phaseolus vulgaris)
Garden Peaplants (Pisum Sativum),PEAPLANTES DE JARDÍN (Pisum sativum),Points de terre de jardin (Pisum sativum),Garden Peoplants (Pisum sativum),Garden land points (Pisum Sativum)
Guar Beanplants (Cyamopsis Tetragonoloba),Plantes de frijoles guar (Cyamopsis tetragonoloba),Gary BeanPlants (Cyamopsis Tetragonoloba),Guar bean plants (tetragonoloba cyamopsis),Gary Beanplants (Cyamopsis tetragonoloba)
Horse Beanplants (Vicia Faba var. Equina),Plantillas de frijoles de caballo (Vicia faba var. Equina),Panettes de cheval (Vicia faba var. Equina),Horse bean templates (Vicia Faba Var. Equine),Horse panettes (Vicia Faba Var. Equina)
Jack Beanplants (Canavalia Ensiformis),Jack Beanplants (Canavalia ensiformis),Jack BeanPlants (Canavalia Ensiformis),Jack Beanplants (Canavalia Ensiformis),Jack Beanplants
Kidney Beanplants (Phaseolus Vulgaris),Plantillas de riñón (Phaseolus vulgaris),Plantes de rein (Phaseolus vulgaris),Kidney templates (Phaseolus vulgaris),Kidney plants (phaseolus vulgaris)
Lablabplants (Lablab Purpureus),Lablabplants (lablab purpureus),LABLABPLANTS (LABLAB PURPURUS),LABLABPLANTS (LABLAB PUPUREUS),LABLABPLANTS (Lablab purpurus)
Lentilplants (Lens Culinaris),Lentilplantes (lente culinaris),Lentilpants (lentilles culinaris),Lentilplants (culinaris lens),Lentilpants (culinaris lenses)
Lima Beanplants (Phaseolus Lunatus),Lima Beanplants (Phaseolus lunatus),Lima BeanPlants (Phaseolus lunatus),Lima Beanplants (Phaseolus lunatus),Lima Beanplants (phaseolus lunatus)
Mung Beanplants (Vigna Radiata),Mung Beanplants (Vigna radiata),Plantes de haricots mungés (Vigna radiata),Mung Beanplants (Vigna Radiata),Munga bean plants (Vigna Radiata)
Peteh Beantrees (Parkia Speciosa),Peteh Beantrees (Parkia speciosa),Peteh Beantrees (Parkia Speciosa),Peteh Beantrees (Parkia Speciosa),Peteh Beantrees (Parkia Speciosa)
Pigeon Peaplants (Cajanus Cajan),Peaplantes de paloma (Cajanus Cajan),Pigeon Peaplants (Cajanus Cajan),Paloma Peoplants (Cajanus Cajan),Pigeon Peaplants (Cajanus Cajan)
Rice Beanplants (Vigna Umbellata),Plantillas de frijoles de arroz (Vigna umbellata),Rice BeanPlants (Vigna Umbellata),Rice bean templates (Vigna Umbellata),Rice Beanplants (Vigna Umbellata)
Runner Beanplants (Phaseolus Coccineus),Plantes de frijoles de corredores (Phaseolus coccineus),Panions de coureur (Phaseolus coccineus),Runner bean plants (Phaseolus coccineus),Runner's parts (phaseolus coccineus)
Snow Peaplants (Pisum Sativum var. Saccharatum),PEAPLANTES DE NIEVE (Pisum sativum var. Saccharatum),Snow Peaplants (Pisum sativum var. Saccharatum),Snow peplants (Pisum sativum var. Saccharatum),Snow Peaplants (Pisum Sativum Var. Saccharatum)
Sweet Peaplants (Lathyrus Odoratus),Peaplantes dulces (Lathyrus odoratus),Pain de paris douces (Lathyrus odoratus),Sweet Peoplants (Lathyrus Odoratus),Soft Paris Bread (Lathyrus Odoratus)
Sword Beanplants (Canavalia Gladiata),Espadas plantes de frijoles (canavalia gladiata),Sword BeanPlants (Canavalia Gladiata),Bean plants (Canavalia Gladiata),Sword Beanplants (Canavalia Gladiata)
Tepary Beanplants (Phaseolus Acutifolius),Plantillas de frijoles (Phaseolus acutifolius),Panes de haricots tépaires (Phaseolus acutifolius),Bean templates (Phaseolus acutifolius),Panes of tépaire beans (phaseolus acutifolius)
Velvet Beanplants (Mucuna Pruriens),Velvet Beanplants (Mucuna pruriens),Perfants de velours (mucuna pruriens),Velvet Beanplants (Mucuna Pruriens),Velvet infringers (Mucuna pruriens)
Winged Beanplants (Psophocarpus Tetragonolobus),Plantillas de frijoles aladas (Psophocarpus tetragonolobus),Panettes ailées (Psophocarpus tétragonolobus),Winged bean templates (Psophocarpus tetragonolobus),Winged panels (psophocarpus tetragonolobus)
Yardlong Beanplants (Vigna Unguiculata subsp. Sesquipedalis),Plantes de frijoles de yardas (Vigna unguiculata subsp. Sesquipedalis),HEARNPLANTS DE YARDONG (Vigna unguiculata subsp. Sesquipedalis),Yardas bean plants (Vigna Unguiculata Subp. Sesquipedalis),Hearnplants from Yardong (Vigna Unguiculata Subp. SESQUIPEDALIS)
Appletrees (Malus domestica),Appletrees (Malus domestica),Appletes (Malus domestica),Appletters (Malus domestic),Appletes (Domestica Malus)
Crabappletrees (Malus sylvestris),Crabpletrees (Malus Sylvestris),Crabappletes (Malus sylvestris),Crabpletrees (Malus sylvestris),Crabappletes (Sylvestris Malus)
Harbinpeartrees (Pyrus ussuriensis),Harbinpeartrees (Pyrus ussuriensis),HarbinPeartrees (Pyrus ussuriensis),Harbinpearers (Pyrus usuriensis),Harbinpeartrees (pyrus ussriensis)
Japanese Medlartrees (Eriobotrya japonica),Medlartrees japoneses (Eriobotrya japonica),Médartrets japonais (Eriobotrya japonica),Japanese medalreares (Japanese eriobotryry),Japanese medartre (ErioBotrya Japanica)
Medlartrees (Mespilus germanica),Medlartrees (Mespilus germanica),MEDLARTRES (Mespilus Germanica),Medlarreares (mespilus Germanica),Medlarters (Mespilus Germanica)
Nashipeartrees (Pyrus pyrifolia),Nashipeartrees (Pyrus pirifolia),Nashipeartrees (Pyrus pyrifolia),Nashiperees (Pyrus pirifolia),Nashipeartrees (Pyrus Pyrifolia)
Peartrees (Pyrus communis),Peartrees (Pyrus communis),Peartrees (Pyrus communis),Pea -trees (pyrus communis),Peartree (Pyrus Communis)
Quincetrees (Cydonia oblonga),Quincetrees (Cydonia oblonga),Quincères (Cydonia oblonga),Fifterers (Cydonia oblonga),Quincères (Cydonia Oblonga)
Ya Peartrees (Pyrus bretschneideri),Ya Peartrees (Pyrus Bretschneideri),Ya Peartrees (Pyrus Bretschneideri),Already pea -trees (Pyrus Bretschneideri),Ya peartree (Bretschneideri Pyrus))
African Peppertrees (Xylopia Aethiopica),Peppertrees africanos (Xylopia aethiopica),PEPPERTRES AFRICAUX (Xylopia aethiopica),African Peppertreses (Xylopia aethiopica),African peppertres (xylopia aethiopica)
Ajwainplants (Trachyspermum Ammi),Ajwainplants (Trachyspermum Ammi),AjwainPlants (trachyspermum ammi),Ajwainplants (trachyspermum ammi),AJWAINPLANTS (TRACHYSPERMAM AMMI)
Allspice/Pimentplants (Pimenta Dioica),Allspice/Pimentplants (Pimenta dioica),Allvice / PimentPlants (Pimenta Dioica),ALLSPICE/PPEPPLONTS (PIENTEA DIE),Allvice / Pimentplants (pimental dioica)
Amargoshrubs (Quassia Amara),Amargoshrubs (Quassia amara),Amargoshrubs (Quassia Amara),Bitgoshrubs (Quassia Amara),Amargoshrubs (Quassia Amara)
Annato/Achiotetrees (Bixa Orellana),Annato/achiotetrees (Bixa orellana),Annato / AchioTetrees (Bixa Orellana),Annato/Achioterees (Bixa Orellana),Annato / Achiotrees (bixa orellana)
Black Cardamomtrees (Amomum Subulatum),Cardamomtrees negros (Amomum Subulatum),Cardamomtrees noires (Amomum subullatum),Cardamomtrees Negros (Amomum Subulatum),Black Cardamtrees (Subullatum amomum)
Black Cuminplants (Bunium Bulbocastanum),Cuminplants negros (Bunium bulbocastanum),Cuminpants noirs (Bunium Bulbocastanum),Cuminplants Negros (Bunium bulbocastanum),Black cuminpants (bunium bulbocastanum)
Black Peppervines (Piper Nigrum),Peppervadores negros (Piper Nigrum),Peppervines noires (Piper nigrum),Black Peppervadores (Piper Nigrum),Black Peppervines (Piper Nigrum)
Brazilian Peppertrees (Schinus Terebinthifolia),Peppertrees brasileños (schinus terebinthifolia),Peppertrees brésiliens (Schinus térébinthifolia),Brazilian Peppertreses (Schinus terebinthifolia),Brazilian peppertrees (Schinus terebinthifolia)
Caper Bushshrubs (Capparis Spinosa),Caper Bushshrubs (Capparis spinosa),Câpres bushrubs (Capparis spinosa),Caper bushshrubs (caparis spinosa),Bushrub capers (Capparis spinosa)
Carawayplants (Carum Carvi),Carawayplants (Carum carvi),Carawaypants (Carum Carvi),Carawayplants (Carum Carvi),Carawaypants (Carum Carvi)
Cassiatrees (Cinnamomum Cassia),Cassictrees (Cinnamomum Cassia),Cassiatres (Cinnamomum Cassia),Cassictrees (Cinnamomum Cassia),Cassiatrics (Cinnamomum Cassia)
Chameleonplants (Houttuynia Cordata),Chameleonplants (Houttuynia Cordata),Caméléon (houttuynia cordata),Chameleonplants (Houtuynia Cordata),Chameleon (houttuynia cordata)
Cinnamontrees (Cinnamomum Verum),Cinnamontees (Cinnamomum verum),Cannamontrees (Cinnamomum verum),Cinnamontees (Cinnamomum Verum),Cannamontrees (Cinnamomum Verum)
Clovetrees (Syzygium Aromaticum),Clovetrees (Syzygium aromaticum),Clovetrees (Syzygium aromaticum),Clovereses (Syzygium aromaticum),CLOVETREES (syzygium aromaticum)
Cubebplants (Piper Cubeba),Cubebplants (Piper Cubeba),CubeBPlants (Piper Cubeba),Cubbplants (Piper Cubeba),Cubebplants (piper cubeba)
Cuminplants (Cuminum Cyminum),Cumumantplants (couminio cminum),CuminPlants (Cuminum cyminum),CUMUMANTPLANTS (CEMINERO CMINUM),Cuminplants (Cuminum Cyminum)
Curryplants (Murraya Koenigii),Curryplants (Murraya koenigii),Curryplants (Murraya Koenigii),Curryplants (Murraya Koenigii),Curryplants (Murraya Koenigii)
Epazoteplants (Chenopodium Ambrosioides),Epazoteplants (Chenopodium Ambrosioides),Epazoteplants (Chenopodium ambrosioides),Epazoteplants (Chenopodium ambrosioides),EPAZOTEPLANTS (Chenopodium Ambrosioides)
Galengaltrees (Alpinia Galanga),Galengalrees (Alpinia Galanga),Galingaltrees (Alpinia galanga),Galengalrees (Alpinia Galanga),Gallingaltrees (Alpinia Galanga)
Green Cardamomtrees (Elettaria Cardamomum),Cardamomtrees verdes (Elettaria Cardamomum),Cardamomtrees vertes (Elettaria cardamomum),Green Cardamomtrees (Elettaria Cardamomum),Green Cardamtrees (Elettaria Cardamomum)
Indian Longpepperplants (Piper Longum),Longpepperplants indios (Piper Longum),Lesppants longs indiens (Piper Longum),Longpepperplants Indians (Piper Longum),Long Indian Lesppants (Piper Longum)
Indonesian Bay-Leaftrees (Eugenia Polyantha),Los hojas de la bahía indonesia (Eugenia Polyantha),Indonésien Bay-Leachtrees (Eugenia Polyantha),The leaves of the Indonesian Bay (Eugenia Polyantha),Indonesian Bay-Leachtrees (Eugenia Polyantha)
Junipertrees (Juniperus Communis),Junipertrees (Juniperus communis),Junipertrees (Juniperus communis),Junipertrees (Juniperus communis),JuniPerrees (Juniperus Communis)
Kawakawaplants (Piper Excelsum),Kawakawaplants (Piper Excelsum),Kawakawaplants (Piper Excelsum),Kawakawaplants (Piper Excelsum),Kawakawaplants (Piper Excelsum)
Lemon Myrtleplants (Backhousia Citriodoria),Myrtleplants de limón (backhousia citriodoria),MyrtlePlants de citron (backhoussia citriodoria),Myrtleplants de lemon (Citriodoria Backhousia),Lemon Myrtleplants (Backhoussia Citriodoria)
Licoricetrees (Glycyrrhiza Glabra),Licóricos (Glycyrrhiza glabra),Licocetrees (Glycyrrhiza glabra),Licoricos (Glycyrrhiza glabra),Licocetrees (glycyrrhiza glabra)
Long Coriander/Culantroplants (Eryngium Foetidum),Cilantro/culantroplantas largas (Eryngium foetidum),Coriandre longue / Culantroplants (éryngium foetidum),Cilantro/Long CcetroPlants (Eryngium foetidum),Long / Culantos Coriander (eryngium fetidum)
Mahlebtrees (Prunus Mahaleb),Mahlebtrees (Prunus Mahaleb),Mahlebtrees (Prunus Mahaleb),Mahlebrees (Prunus Mahalleb),Mahlebtrees (prunus mahaleb)
Malaguetta Pepper/Grains of Paradiseplants (Aframomum Melegueta),Malaguetta Pepper/Granos de Paradiseplants (Aframomum melegueta),Malaguetta Pepper / grains de paradisplants (Aframomum meleguta),Malaguetta Pepper/Paradiseplants (Afframomum Melegueta) grains,Malaguetta pepper / grains of paradise (Aframomum meleguta)
Mexican Pepperleafplants (Piper Auritum ),Pepperleafplants mexicanos (Piper auritum),Plantes de poivre mexicaines (Piper Auritum),Pepperleafples Mexicanos (Piper auritum),Mexican pepper plants (Piper Auritum)
Mountain-Horopitotrees (Pseudowintera Colorata),Montaña-horitototrees (pseudowintera colorata),Mountain-Horopitotrees (Pseudowintera Colorata),Mountain-Horitotoees (color pseudowintera),Mountain-Horopitotrees (pseudowintera colorata)
Myrtleplants (Myrtus),Myrtleplants (Myrtus),MyrtlePlants (Myrtus),Myrtleplants (Myrtus),Myrtleplants (Myrtus)
Nigella/Black Carawayplants (Nigella Sativa ),Nigella/Black Carawayplants (Nigella sativa),Nigella / Black Carawaypants (Nigella Sativa),Nigella/Black Carawayplants (Nigella sativa),Nigella / Black Caraware (Nigella Sativa)
Njangsatrees (Ricinodendron Heudelotii),Njangsatrees (Ricinodendron Heudelotii),Njangsatrees (Rcinodendron heudelotii),Njangsatrees (ricinodendron heudelotii),Njangsatrees (RCINODENDRON Heudelotii)
Nutmegtrees (Myristica Fragrans),Nugurees (Myristica Fragrans),Nutmegtrees (Myristica Fragrans),Nugurees (Myristic fragrans),Nutmegrees (Myristica Fragrans)
Pandantrees (Pandanus Utilis),Pandantrees (Pandanus utilis),Pandantetres (Pandanus utilis),Pandantrees (pandanus utilis),Pandantres (Pandanus used)
Pink/Peruvian Peppertrees (Schinus Molle),Peppertrees rosados/peruanos (Schinus Molle),Peppertrees roses / péruviens (Schinus molle),Pink/Peruvian Peppertreses (Schinus Molle),Pink / Peruvian peppertre (Schinus soft)
Poppyplants (Papaver Somniferum),Poppyplants (Papaver somniferum),PoppyPlants (Papaver Somniferum),Poppyplants (Papaver somniferum),PopPyplants (Papaver Room)
Pot Majoramplants (Origanum Onites),Pot Majoramplants (Origanum Onites),Pot Majoramplants (Origanum Onites),Pot Majoramplants (Origanum Onites),Majority pot (ORIGANUM onites)
Saffronplants (Crocus Sativus),Azafonplantes (Crocus sativus),Safrane (crocus sativus),Azafonplants (Crocus sativus),SAFRANE (CROCUS Sativus)
Salepplants (Orchis Militaris),SalePplants (Orchis militaris),Salepplants (Orchis militaris),Saleppplants (Orchis Military),Salepplants (militaris orchis)
Sichuan Pepperplants (Zanthoxylum),Sichuan Pepperplants (Zanthoxylum),PEPPLANTS SICHUAN (Zanthoxylum),Sichuan Pepperplants (Zanthoxylum),Pepplants Sichuan (zanthoxylum)
